gene1	gene	score
CYB5R3	DNAJB4	0.143
CYB5R3	CEP290	0.143
CYB5R3	DNAJB5	0.143
CYB5R2	DNAJA4	0.143
CYB5R2	HSPH1	0.143
CYB5R2	DNAJB4	0.143
CYB5R2	DNAJA2	0.143
CYB5R2	DNAJB5	0.143
CYB5R2	HSPA4L	0.143
CYB5R2	HSPA1B	0.143
CYB5R2	HSPD1	0.143
CYB5R2	HSPA8	0.143
CYB5R2	HSPA6	0.143
CYB5R2	DNAJB1	0.143
CYB5R2	DNAJA1	0.143
CYB5R2	HSPA1L	0.143
CYB5R2	HSPA4	0.143
CYB5R2	CCT4	0.143
CYB5R2	HSPA2	0.143
CYB5R2	DNAJB13	0.143
CYB5R1	HSPA1B	0.143
CYB5R1	HSPA8	0.143
CYB5R1	HSPA6	0.143
CYB5R1	HSPA1L	0.143
CYB5R1	HSPA2	0.143
ART4	APP	0.143
ADPRH	TFCP2	0.143
NT5C2	MOB3C	0.143
NT5C1A	WDYHV1	0.143
NADSYN1	DNAJB4	0.143
NADSYN1	DNAJB5	0.143
NADSYN1	DNAJB1	0.143
NADSYN1	DNAJB13	0.143
ITPA	ISYNA1	0.143
ITPA	RUVBL1	0.143
ITPA	HSPA1A	0.143
ITPA	PPIB	0.143
ITPA	CAD	0.143
ITPA	ECHS1	0.143
NUDT15	CLPSL1	0.143
NUDT15	LCN15	0.143
NNMT	APP	0.143
NADK	HSPA1A	0.143
NADK	HSPA1B	0.143
NADK	HSPA8	0.143
NADK	HSPA6	0.143
NADK	HSPA1L	0.143
NADK	HSPA2	0.143
