gene1	gene	score
PYCR1	KPNA1	0.146
PYCR1	MDC1	0.146
PYCR1	KPNB1	0.146
PYCR1	NEDD8	0.146
PYCR1	KPNA5	0.146
PYCR2	CIC	0.146
PYCR2	KPNA5	0.146
PYCR2	KPNA1	0.146
PYCR2	SUMO2	0.146
PYCR2	MDC1	0.146
PYCR2	KPNB1	0.146
PYCRL	ULK2	0.146
PYCRL	UIMC1	0.146
PYCRL	BABAM1	0.146
PYCRL	KPNA5	0.146
PYCRL	KPNA1	0.146
PYCRL	SUMO2	0.146
PYCRL	KPNB1	0.146
OAT	CDK2	0.145
OAT	MAP1LC3A	0.145
PYCR1	BMI1	0.145
PYCR1	MDM2	0.145
PYCR1	SUZ12	0.145
PYCR1	NXF1	0.145
PYCR1	CDK2AP2	0.145
PYCR2	CUTC	0.145
PYCR2	NXF1	0.145
PYCR2	MDM2	0.145
PYCRL	CUTC	0.145
PYCRL	NXF1	0.145
OTC	PSMA6	0.144
OTC	MRPL17	0.144
OAT	NTRK1	0.144
OAT	JUN	0.144
OAT	NFKB1	0.144
OAT	MCC	0.144
OAT	HLA-B	0.144
OAT	PMS2	0.144
OAT	EIF6	0.144
OAT	ARF6	0.144
OAT	CCNA1	0.144
OAT	SLC35F6	0.144
OAT	ONECUT1	0.144
OAT	PRKAB1	0.144
OAT	SSSCA1	0.144
OAT	PTP4A3	0.144
OAT	KHDRBS3	0.144
OAT	NUDT3	0.144
PYCR1	NAP1L1	0.144
PYCR1	MAX	0.144
PYCR1	BNIPL	0.144
PYCR1	RNF2	0.144
PYCR1	NAP1L4	0.144
PYCR1	NAP1L2	0.144
PYCR1	NUDT21	0.144
PYCR1	MYC	0.144
PYCR1	NTRK1	0.144
PYCR1	JUN	0.144
PYCR1	EEF2	0.144
PYCR2	NAP1L4	0.144
PYCR2	NAP1L2	0.144
PYCR2	EED	0.144
PYCR2	MYC	0.144
PYCR2	NTRK1	0.144
PYCR2	EEF2	0.144
PYCR2	VCAM1	0.144
PYCR2	TAF1	0.144
PYCR2	MCC	0.144
PYCR2	NAP1L1	0.144
PYCR2	MAX	0.144
PYCRL	NAP1L4	0.144
PYCRL	NAP1L2	0.144
PYCRL	EED	0.144
PYCRL	EEF2	0.144
PYCRL	LBP	0.144
PYCRL	NAP1L1	0.144
OTC	HNF4A	0.143
OAT	TAF1	0.143
OAT	PFDN2	0.143
OAT	TRAF6	0.143
PYCR1	EEF1A1	0.143
PYCR1	EEF1A2	0.143
PYCR1	CUL3	0.143
PYCR1	CEP162	0.143
PYCR1	LCA5	0.143
PYCR2	MRPL11	0.143
PYCR2	MRPS16	0.143
PYCR2	PRDX2	0.143
PYCR2	PRDX4	0.143
PYCR2	CUL3	0.143
PYCR2	CEP162	0.143
PYCRL	MRPL11	0.143
PYCRL	MRPS16	0.143
PYCRL	PRDX2	0.143
PYCRL	EEF1A1	0.143
PYCRL	EEF1A2	0.143
PYCRL	PRDX4	0.143
PYCRL	CUL3	0.143
OTC	SLC26A11	0.142
OTC	SRR	0.142
PYCR1	HSPA4	0.142
PYCR1	HSD17B7	0.142
PYCR1	PYCRL	0.142
PYCR1	KLHDC10	0.142
PYCR1	HSPH1	0.142
PYCR1	PYCR2	0.142
PYCR1	DOHH	0.142
PYCR1	TMEM165	0.142
PYCR1	HSPA4L	0.142
PYCR2	DOHH	0.142
PYCR2	TMEM165	0.142
PYCR2	HSPA4L	0.142
PYCR2	APP	0.142
PYCR2	PYCR1	0.142
PYCR2	HSPA4	0.142
PYCR2	HSD17B7	0.142
PYCR2	EEF1A1	0.142
PYCR2	EEF1A2	0.142
PYCR2	PYCRL	0.142
PYCR2	AHNAK2	0.142
