gene1	gene	score
IARS	MYH7	0.166
IARS	MYH8	0.166
SARS	PPP2R1A	0.166
SARS	PPP2R1B	0.166
AARS	HSP90AA1	0.166
AARS	HSP90AB1	0.166
AARS	EEF1B2	0.166
DARS	EEF1D	0.165
FARSB	PSMD14	0.165
RARS2	PSMD14	0.165
IARS	MYH9	0.165
IARS	MYH10	0.165
IARS	MYH11	0.165
LARS	EEF1G	0.165
LARS	PGD	0.165
SARS2	TP53	0.165
AARS	PSMD14	0.165
AARS2	SIRT4	0.165
TARSL2	PGD	0.165
TARS	PGD	0.165
WARS	EEF1A1	0.165
WARS	PSMD14	0.165
DARS	PGD	0.164
FARSA	PSMD14	0.164
FARSA	PSEN1	0.164
FARS2	YBX1	0.164
NARS	PSMD4	0.164
NARS	PSMD14	0.164
QARS	KCMF1	0.164
QARS	PSMD14	0.164
RARS2	SIRT4	0.164
IARS2	SIRT4	0.164
IARS	PSMD14	0.164
VARS	PGD	0.164
SARS	PSMD14	0.164
SARS2	SIRT4	0.164
MARS	PSMD14	0.164
AARS	KAT5	0.164
TARSL2	KAT5	0.164
TARS	KAT5	0.164
FARSA	PRMT1	0.163
FARSA	PRMT8	0.163
HARS2	GRSF1	0.163
QARS	SENP3	0.163
LARS	PRMT1	0.163
LARS	PRMT8	0.163
MARS2	CUL1	0.163
MARS2	CUL2	0.163
AARS	PRMT1	0.163
AARS	PRMT8	0.163
WARS2	COX5B	0.163
DARS2	NPEPPS	0.162
DARS	GJA1	0.162
HARS	NEDD8	0.162
QARS	GJA1	0.162
SARS	MYC	0.162
SARS2	UBE2A	0.162
SARS2	UBE2B	0.162
TARS	SENP3	0.162
DARS	GRB2	0.161
DARS	NAPRT	0.161
FARSA	NEDD8	0.161
QARS	NEDD8	0.161
IARS2	NEDD8	0.161
LARS	NEDD8	0.161
TARS2	UBC	0.161
DARS	UBA5	0.16
DARS	GLS	0.16
FARS2	UBC	0.16
YARS2	UBC	0.16
IARS	RAE1	0.16
VARS	TMEM173	0.16
LARS	YWHAE	0.16
TARSL2	SUMO2	0.16
FARSA	CCT3	0.159
FARSA	LRRK2	0.159
FARSB	WRAP73	0.159
FARSB	VCAM1	0.159
HARS	HSP90AB1	0.159
HARS2	HSP90AB1	0.159
NARS	YOD1	0.159
YARS	VCAM1	0.159
RARS	WRAP73	0.159
RARS	VCAM1	0.159
LARS	WRAP73	0.159
SARS	YOD1	0.159
DARS	VCAM1	0.158
DARS	SPRTN	0.158
FARSA	HSP90AB1	0.158
NARS	PSMD2	0.158
NARS2	LSM5	0.158
NARS2	LSM1	0.158
QARS	PRRC2A	0.158
IARS	VCAM1	0.158
VARS	VCAM1	0.158
LARS	VCAM1	0.158
LARS	DDX6	0.158
LARS2	HSPH1	0.158
LARS2	HSPA4L	0.158
LARS2	HSPA1B	0.158
LARS2	HSPA8	0.158
LARS2	HSPA6	0.158
LARS2	HSPA1L	0.158
LARS2	HSPA4	0.158
LARS2	HSPA2	0.158
MARS	PSMC3	0.158
MARS	VCAM1	0.158
AARS	VCAM1	0.158
AARS	PPP2R1B	0.158
TARS	VCAM1	0.158
WARS	SUMO3	0.158
WARS	SUMO1	0.158
WARS	SUMO4	0.158
DARS	USP7	0.157
FARS2	ISG15	0.157
FARSB	MAPK1	0.157
QARS	RNF11	0.157
YARS	PARK7	0.157
CARS	PACSIN1	0.157
CARS	PACSIN3	0.157
CARS	PACSIN2	0.157
CARS	PSTPIP1	0.157
IARS	PPP2R1A	0.157
IARS	PPP2R1B	0.157
IARS	POLR2B	0.157
VARS	PSMD4	0.157
VARS	PSMC3	0.157
LARS	ESR2	0.157
SARS2	JUN	0.157
AARS	PPP2R1A	0.157
FARSA	MAPK3	0.156
FARSA	MAPK1	0.156
FARSA	EIF2B1	0.156
FARSB	MAPK3	0.156
FARSB	SUMO1	0.156
FARSB	SUMO4	0.156
FARSB	SLX4	0.156
IARS	ESR1	0.156
VARS2	ICT1	0.156
LARS	PTBP3	0.156
PARS2	ICT1	0.156
TARS2	ICT1	0.156
WARS	ISG15	0.156
FARS2	ICT1	0.155
HARS2	ICT1	0.155
NARS	MCM2	0.155
NARS	YWHAG	0.155
NARS	YWHAH	0.155
QARS	DTX2	0.155
QARS	RNF126	0.155
QARS	UBD	0.155
YARS	CNBP	0.155
YARS	ZCCHC13	0.155
YARS2	ICT1	0.155
RARS	EGFR	0.155
IARS2	RNF126	0.155
IARS	DUX4	0.155
VARS	MAPK3	0.155
VARS	MAPK1	0.155
VARS	EEF1A2	0.155
VARS	MYH14	0.155
VARS	SLX4	0.155
VARS	CHD7	0.155
VARS	MYH2	0.155
VARS	MYH13	0.155
VARS	MYH15	0.155
VARS	MYH4	0.155
VARS	MYH7B	0.155
VARS	MYH3	0.155
VARS	MYH1	0.155
VARS	MYH7	0.155
VARS	MYH8	0.155
LARS	HSPA1B	0.155
LARS	HSPA8	0.155
LARS	HSPA6	0.155
LARS	HSPA2	0.155
SARS	CSNK1D	0.155
MARS	YWHAG	0.155
MARS	YWHAH	0.155
MARS	DUX4	0.155
AARS	HSPA2	0.155
AARS	HSPA1A	0.155
AARS	HSPA1B	0.155
AARS	HSPA8	0.155
AARS	HSPA6	0.155
AARS2	ICT1	0.155
TARS	NDRG1	0.155
WARS	PSMA3	0.155
DARS	FBXO25	0.154
DARS	NDRG1	0.154
DARS	EGFR	0.154
FARSA	WWOX	0.154
FARSB	CD4	0.154
FARSB	ACTB	0.154
HARS	MTNR1B	0.154
NARS2	PRPF40A	0.154
NARS2	PRPF40B	0.154
CARS	SUMO2	0.154
RARS2	ICT1	0.154
IARS	HSPA1A	0.154
VARS	MYH9	0.154
VARS	MYH10	0.154
VARS	MYH11	0.154
VARS	HSPA2	0.154
VARS	ACACA	0.154
VARS	GMPPB	0.154
VARS	HSP90AB1	0.154
VARS	HSPA1A	0.154
VARS	HSPA1B	0.154
VARS	HSPA5	0.154
VARS	HSPA8	0.154
VARS	HSPA6	0.154
VARS2	UBC	0.154
LARS	EEF1A1	0.154
LARS	EEF1A2	0.154
LARS2	RHOU	0.154
SARS2	UBC	0.154
SARS2	PSMC5	0.154
SARS2	ICT1	0.154
MARS	FBXO25	0.154
MARS	EGFR	0.154
MARS	CDK9	0.154
AARS	ABCE1	0.154
AARS	UBD	0.154
AARS2	RAB40B	0.154
WARS	POU5F1	0.154
WARS	POU5F1B	0.154
DARS	PRPF40B	0.153
DARS	HDAC5	0.153
FARSA	HMGA2	0.153
NARS	PXN	0.153
NARS	HMGA2	0.153
NARS	HSPB2	0.153
NARS2	UBC	0.153
QARS	HDAC5	0.153
CARS	PSMD14	0.153
CARS2	EGFR	0.153
RARS	HDAC5	0.153
RARS	METTL18	0.153
RARS	HMGA2	0.153
IARS2	YWHAQ	0.153
VARS	MAT2A	0.153
VARS	MTNR1A	0.153
VARS	MAT1A	0.153
EARS2	NEDD4L	0.153
EARS2	NEDD4	0.153
LARS	HDAC5	0.153
LARS	WDR76	0.153
LARS2	YWHAQ	0.153
SARS	SNTB1	0.153
SARS	XPO1	0.153
SARS2	IFI16	0.153
MARS	PRPF40B	0.153
MARS	HDAC5	0.153
AARS	MARCH6	0.153
AARS2	RAB39B	0.153
AARS2	IFT22	0.153
AARS2	RAB22A	0.153
AARS2	UBC	0.153
AARS2	YWHAQ	0.153
TARSL2	PRPF40B	0.153
TARS	PRPF40B	0.153
TARS	HDAC5	0.153
WARS	CTSE	0.153
DARS2	TERF2	0.152
DARS	RAB4A	0.152
DARS	PRPF40A	0.152
FARSA	PAN2	0.152
FARSA	OTUB1	0.152
FARSB	SLC2A4	0.152
FARSB	HDGF	0.152
FARSB	OTUB1	0.152
HARS	SUMO1	0.152
